expense_id,expense_date,department_id,expense_type,amount
242,2024-01-22,3,Cloud Hosting,1481.6
243,2024-01-22,2,Salary,8155.48
244,2024-01-22,5,Office,1431.23
245,2024-01-22,2,Office,368.16
246,2024-01-22,4,Office,487.1
247,2024-01-22,5,Travel,2467.8
248,2024-01-22,2,Salary,7962.46
249,2024-01-22,2,Cloud Hosting,1720.66
250,2024-01-22,5,Office,277.22
251,2024-01-22,1,Salary,10533.59
252,2024-01-22,2,Office,993.02
253,2024-01-22,1,Software,2630.89
254,2024-01-23,4,Cloud Hosting,2549.96
255,2024-01-23,2,Cloud Hosting,4837.84
256,2024-01-23,4,Cloud Hosting,836.21
257,2024-01-23,4,Salary,9917.47
258,2024-01-23,1,Travel,776.56
259,2024-01-23,3,Travel,523.69
260,2024-01-23,1,Marketing,4906.51
261,2024-01-23,5,Software,1828.77
262,2024-01-23,2,Travel,3147.64
263,2024-01-23,4,Software,2734.66
264,2024-01-23,5,Cloud Hosting,4953.15
265,2024-01-23,5,Cloud Hosting,3218.83
266,2024-01-23,1,Travel,3800.84
267,2024-01-23,2,Marketing,2852.52
268,2024-01-24,2,Marketing,2216.69
269,2024-01-24,2,Salary,5026.76
270,2024-01-24,5,Software,1462.75
271,2024-01-24,2,Salary,7881.05
272,2024-01-24,4,Cloud Hosting,634.54
273,2024-01-24,3,Marketing,6514.8
274,2024-01-25,2,Travel,1815.53
275,2024-01-25,2,Travel,2661.01
276,2024-01-25,2,Cloud Hosting,635.63
277,2024-01-25,3,Marketing,5165.31
278,2024-01-25,3,Travel,1868.78
279,2024-01-25,3,Software,2129.23
280,2024-01-25,5,Cloud Hosting,2837.91
281,2024-01-25,1,Software,1834.31
282,2024-01-25,3,Software,1850.77
283,2024-01-25,1,Salary,7289.24
284,2024-01-25,5,Office,921.97
285,2024-01-25,3,Salary,10762.47
286,2024-01-25,4,Marketing,4632.75
287,2024-01-25,3,Software,626.32
288,2024-01-25,4,Travel,2612.18
289,2024-01-26,4,Salary,8479.61
290,2024-01-26,3,Cloud Hosting,3449.63
291,2024-01-26,3,Marketing,3881.52
292,2024-01-26,3,Software,2021.49
293,2024-01-26,5,Software,206.42
294,2024-01-26,3,Salary,7523.99
295,2024-01-26,4,Salary,13649.11
296,2024-01-26,5,Salary,9619.76
297,2024-01-26,2,Salary,10184.39
298,2024-01-26,4,Travel,2576.55
299,2024-01-26,2,Salary,7670.56
300,2024-01-26,3,Marketing,4066.81
301,2024-01-27,1,Salary,14731.47
302,2024-01-27,2,Travel,2897.17
303,2024-01-27,5,Cloud Hosting,364.27
304,2024-01-27,1,Software,751.63
305,2024-01-27,4,Salary,14470.61
306,2024-01-27,2,Office,797.73
307,2024-01-27,3,Office,812.42
308,2024-01-27,4,Cloud Hosting,4223.2
309,2024-01-27,2,Software,1424.68
310,2024-01-27,4,Marketing,2334.27
311,2024-01-27,5,Travel,3035.91
312,2024-01-27,1,Marketing,2933.73
313,2024-01-28,5,Cloud Hosting,1555.71
314,2024-01-28,3,Salary,12260.51
315,2024-01-28,5,Travel,3995.83
316,2024-01-28,2,Software,1394.99
317,2024-01-28,3,Software,1064.08
318,2024-01-28,4,Travel,1930.31
319,2024-01-28,2,Cloud Hosting,4909.64
320,2024-01-28,5,Marketing,3680.8
321,2024-01-28,1,Software,1022.71
322,2024-01-28,4,Software,1219.63
323,2024-01-28,2,Office,793.46
324,2024-01-29,5,Marketing,7757.48
325,2024-01-29,1,Cloud Hosting,4408.69
326,2024-01-29,1,Software,1625.26
327,2024-01-29,1,Software,2195.09
328,2024-01-29,2,Software,317.0
329,2024-01-30,5,Cloud Hosting,3555.71
330,2024-01-30,1,Office,1292.47
331,2024-01-30,5,Office,632.01
332,2024-01-30,4,Cloud Hosting,4400.2
333,2024-01-30,5,Salary,5684.21
334,2024-01-30,3,Office,1496.4
335,2024-01-30,1,Office,707.56
336,2024-01-30,1,Salary,9436.79
337,2024-01-30,3,Office,1364.79
338,2024-01-31,1,Cloud Hosting,1678.83
339,2024-01-31,4,Cloud Hosting,984.18
340,2024-01-31,4,Travel,2350.53
341,2024-01-31,2,Marketing,2225.49
342,2024-01-31,4,Travel,2554.9
343,2024-02-01,5,Software,515.04
344,2024-02-01,3,Software,1432.75
345,2024-02-01,1,Office,1358.47
346,2024-02-01,3,Software,2065.07
347,2024-02-01,1,Marketing,4092.11
348,2024-02-01,5,Cloud Hosting,1706.02
349,2024-02-01,3,Software,1424.82
350,2024-02-01,2,Cloud Hosting,4997.06
351,2024-02-02,2,Salary,8813.64
352,2024-02-02,5,Cloud Hosting,1690.6
353,2024-02-02,3,Office,130.72
354,2024-02-02,4,Office,484.27
355,2024-02-02,1,Travel,3660.34
356,2024-02-02,4,Office,1265.97
357,2024-02-02,2,Cloud Hosting,3153.21
358,2024-02-02,2,Cloud Hosting,3292.1
359,2024-02-02,3,Travel,2775.5
360,2024-02-02,2,Office,979.55
361,2024-02-02,1,Office,532.51
362,2024-02-02,1,Software,1780.76
363,2024-02-03,3,Salary,8267.19
364,2024-02-03,2,Software,682.3
365,2024-02-03,3,Travel,2217.24
366,2024-02-03,2,Cloud Hosting,1507.76
367,2024-02-03,3,Software,2265.02
368,2024-02-03,1,Cloud Hosting,2501.16
369,2024-02-03,2,Salary,12541.51
370,2024-02-04,4,Office,1454.18
371,2024-02-04,3,Travel,543.15
372,2024-02-04,1,Software,866.93
373,2024-02-04,4,Salary,8685.86
374,2024-02-04,3,Office,918.38
375,2024-02-04,3,Office,251.68
376,2024-02-04,4,Marketing,1175.17
377,2024-02-04,3,Travel,3677.97
378,2024-02-05,1,Office,989.57
379,2024-02-05,3,Software,1982.79
380,2024-02-05,2,Salary,5453.47
381,2024-02-05,3,Salary,14959.27
382,2024-02-05,1,Salary,7348.0
383,2024-02-05,2,Travel,1676.85
384,2024-02-05,5,Cloud Hosting,2269.9
385,2024-02-05,2,Office,1339.58
386,2024-02-06,4,Salary,11156.52
387,2024-02-06,1,Cloud Hosting,3544.32
388,2024-02-06,4,Marketing,4112.87
389,2024-02-06,3,Marketing,1695.48
390,2024-02-06,3,Office,862.25
391,2024-02-06,3,Office,184.77
392,2024-02-06,2,Cloud Hosting,4850.57
393,2024-02-06,1,Software,2022.03
394,2024-02-06,5,Office,1459.53
395,2024-02-06,3,Salary,7435.69
396,2024-02-06,5,Marketing,2436.44
397,2024-02-06,2,Travel,2428.26
398,2024-02-06,3,Marketing,6420.58
399,2024-02-06,1,Travel,1253.64
400,2024-02-06,2,Marketing,4781.51
401,2024-02-07,1,Salary,6318.03
402,2024-02-07,2,Cloud Hosting,3067.61
403,2024-02-07,2,Salary,7653.68
404,2024-02-07,4,Marketing,4682.6
405,2024-02-07,1,Office,766.74
406,2024-02-07,5,Cloud Hosting,3090.23
407,2024-02-07,5,Software,742.49
408,2024-02-08,5,Salary,8016.3
409,2024-02-08,1,Office,185.16
410,2024-02-08,4,Software,1336.19
411,2024-02-08,4,Salary,12124.01
412,2024-02-08,1,Software,2707.87
413,2024-02-08,5,Cloud Hosting,997.17
414,2024-02-08,3,Marketing,5370.22
415,2024-02-08,5,Travel,2906.18
416,2024-02-08,5,Software,1638.61
417,2024-02-08,5,Software,1855.74
418,2024-02-08,1,Salary,13527.93
419,2024-02-08,5,Office,1109.18
420,2024-02-08,4,Marketing,4160.88
421,2024-02-08,4,Marketing,3372.52
422,2024-02-09,4,Software,2215.88
423,2024-02-09,4,Cloud Hosting,1768.86
424,2024-02-09,3,Cloud Hosting,4781.88
425,2024-02-09,4,Office,193.99
426,2024-02-09,1,Salary,9318.77
427,2024-02-09,3,Office,1236.48
428,2024-02-09,1,Travel,2428.57
429,2024-02-09,5,Travel,1452.65
430,2024-02-09,4,Salary,8535.98
431,2024-02-09,4,Office,1315.33
432,2024-02-09,1,Office,1455.76
433,2024-02-09,3,Travel,1536.26
434,2024-02-10,2,Travel,787.97
435,2024-02-10,2,Software,2557.1
436,2024-02-10,5,Cloud Hosting,2027.54
437,2024-02-10,5,Cloud Hosting,1362.95
438,2024-02-10,5,Software,2926.19
439,2024-02-10,5,Travel,2764.91
440,2024-02-10,1,Travel,2514.18
441,2024-02-10,3,Office,140.53
442,2024-02-10,3,Cloud Hosting,4631.23
443,2024-02-10,1,Cloud Hosting,1152.61
444,2024-02-10,5,Marketing,5601.41
445,2024-02-10,2,Salary,12409.69
446,2024-02-10,1,Salary,12461.12
447,2024-02-10,4,Marketing,3938.83
448,2024-02-11,3,Marketing,3181.46
449,2024-02-11,5,Cloud Hosting,3102.25
450,2024-02-11,2,Salary,6574.1
451,2024-02-11,1,Travel,2761.08
452,2024-02-11,4,Cloud Hosting,3411.11
453,2024-02-11,5,Software,1381.93
454,2024-02-11,2,Cloud Hosting,3848.23
455,2024-02-11,3,Salary,9299.14
456,2024-02-11,5,Cloud Hosting,2587.17
457,2024-02-11,3,Office,163.58
458,2024-02-12,1,Travel,229.21
459,2024-02-12,2,Cloud Hosting,3906.54
460,2024-02-12,3,Cloud Hosting,1842.18
461,2024-02-12,4,Salary,12470.14
462,2024-02-12,2,Marketing,3661.45
463,2024-02-12,2,Office,800.37
464,2024-02-12,3,Office,200.91
465,2024-02-12,1,Office,710.71
466,2024-02-12,1,Software,2600.12
467,2024-02-12,4,Travel,2378.92
468,2024-02-12,4,Office,505.32
469,2024-02-13,3,Salary,6718.73
470,2024-02-13,4,Travel,3361.7
471,2024-02-13,1,Cloud Hosting,2352.55
472,2024-02-13,2,Salary,9356.77
473,2024-02-13,5,Software,328.08
474,2024-02-13,3,Cloud Hosting,1341.39
475,2024-02-13,1,Marketing,4573.38
476,2024-02-13,5,Salary,10099.52
477,2024-02-13,3,Cloud Hosting,3718.68
478,2024-02-13,2,Office,430.78
479,2024-02-13,3,Marketing,2380.9
480,2024-02-14,1,Marketing,2240.02
481,2024-02-14,4,Office,749.53
482,2024-02-14,5,Travel,1905.84
483,2024-02-14,5,Travel,1428.19
484,2024-02-14,3,Office,311.34
485,2024-02-14,4,Salary,9422.08
486,2024-02-14,3,Cloud Hosting,3079.67
487,2024-02-14,5,Cloud Hosting,648.7
488,2024-02-14,4,Software,209.06
489,2024-02-14,3,Cloud Hosting,660.64
490,2024-02-14,5,Salary,10940.8
491,2024-02-14,4,Software,1782.96
492,2024-02-14,1,Office,729.63
493,2024-02-14,2,Travel,1421.8
494,2024-02-15,2,Travel,3839.34
495,2024-02-15,1,Software,2451.8
496,2024-02-15,1,Cloud Hosting,2671.38
497,2024-02-15,1,Marketing,2734.21
498,2024-02-15,4,Software,1619.8
499,2024-02-15,2,Travel,1582.81
500,2024-02-15,4,Cloud Hosting,2221.22
501,2024-02-15,5,Cloud Hosting,546.12
502,2024-02-15,3,Office,192.28
503,2024-02-15,5,Salary,11783.79
504,2024-02-15,3,Cloud Hosting,3701.55
505,2024-02-15,5,Office,1322.59
506,2024-02-16,5,Salary,11636.12
507,2024-02-16,3,Cloud Hosting,4848.17
508,2024-02-16,4,Office,280.53
509,2024-02-16,1,Office,533.41
510,2024-02-16,3,Software,2458.24
511,2024-02-16,5,Office,230.83
512,2024-02-16,4,Office,811.88
513,2024-02-16,3,Salary,8088.66
514,2024-02-16,3,Marketing,7633.68
515,2024-02-16,2,Software,756.97
516,2024-02-17,1,Marketing,3070.54
517,2024-02-17,5,Salary,12708.75
518,2024-02-17,5,Office,152.85
519,2024-02-17,5,Cloud Hosting,915.93
520,2024-02-17,2,Software,570.52
521,2024-02-17,5,Office,1232.66
522,2024-02-17,4,Marketing,1305.85
523,2024-02-18,2,Office,1457.42
524,2024-02-18,3,Travel,3059.09
525,2024-02-18,2,Software,1648.63
526,2024-02-18,4,Cloud Hosting,4548.68
527,2024-02-18,3,Marketing,5748.15
528,2024-02-18,4,Travel,1954.38
529,2024-02-18,4,Cloud Hosting,2663.66
530,2024-02-18,2,Software,2468.98
531,2024-02-18,2,Travel,3517.41
532,2024-02-18,4,Salary,13741.17
533,2024-02-19,5,Salary,13511.66
534,2024-02-19,1,Cloud Hosting,3886.65
535,2024-02-19,4,Cloud Hosting,4554.94
536,2024-02-19,4,Marketing,1641.99
537,2024-02-19,4,Marketing,7192.41
538,2024-02-19,4,Salary,5532.57
539,2024-02-19,3,Travel,1095.96
540,2024-02-19,3,Salary,7245.39
541,2024-02-19,1,Cloud Hosting,4244.13
542,2024-02-19,3,Office,1207.93
543,2024-02-19,1,Marketing,3008.16
544,2024-02-19,2,Software,2300.64
545,2024-02-19,4,Software,1884.51
546,2024-02-20,3,Salary,7156.55
547,2024-02-20,5,Marketing,7581.58
548,2024-02-20,5,Travel,1808.37
549,2024-02-20,2,Cloud Hosting,1715.41
550,2024-02-20,2,Salary,9198.26
551,2024-02-20,4,Travel,438.67
552,2024-02-21,5,Travel,262.45
553,2024-02-21,5,Travel,1119.36
554,2024-02-21,3,Marketing,4004.67
555,2024-02-21,3,Travel,1114.14
556,2024-02-21,2,Software,2026.68
557,2024-02-21,5,Salary,14746.54
558,2024-02-21,5,Salary,10440.82
559,2024-02-21,5,Travel,277.27
560,2024-02-21,1,Software,1943.45
561,2024-02-21,3,Cloud Hosting,3812.39
562,2024-02-21,1,Cloud Hosting,1920.57
563,2024-02-21,1,Office,1180.1
564,2024-02-22,1,Marketing,3466.09
565,2024-02-22,2,Cloud Hosting,4202.8
566,2024-02-22,4,Office,1473.15
567,2024-02-22,2,Software,2453.34
568,2024-02-22,4,Salary,5369.84
569,2024-02-22,1,Marketing,6537.76
570,2024-02-22,3,Salary,14333.71
571,2024-02-22,4,Travel,3958.67
572,2024-02-22,4,Travel,1162.59
573,2024-02-22,2,Office,500.56
574,2024-02-23,3,Office,482.5
575,2024-02-23,4,Cloud Hosting,4480.59
576,2024-02-23,4,Office,1352.49
577,2024-02-23,3,Software,2923.8
578,2024-02-23,4,Software,1165.31
579,2024-02-24,1,Cloud Hosting,3717.28
580,2024-02-24,4,Salary,11024.53
581,2024-02-24,5,Marketing,3056.36
582,2024-02-24,1,Salary,8279.2
583,2024-02-24,3,Cloud Hosting,2395.8
584,2024-02-24,4,Office,333.3
585,2024-02-24,3,Software,1396.68
586,2024-02-24,3,Office,960.79
587,2024-02-24,3,Software,1954.46
588,2024-02-24,1,Salary,11711.84
589,2024-02-24,3,Software,1587.95
590,2024-02-24,2,Office,1433.91
591,2024-02-24,5,Marketing,5746.62
592,2024-02-25,2,Salary,5672.33
593,2024-02-25,3,Office,607.01
594,2024-02-25,1,Travel,2499.36
595,2024-02-25,4,Office,1428.35
596,2024-02-25,4,Cloud Hosting,3886.5
597,2024-02-25,2,Travel,2211.95
598,2024-02-25,3,Software,1983.73
599,2024-02-25,1,Marketing,1181.39
600,2024-02-25,4,Marketing,4624.22
601,2024-02-25,1,Travel,1194.75
602,2024-02-25,4,Cloud Hosting,1308.48
603,2024-02-25,3,Travel,2837.13
604,2024-02-26,1,Marketing,1950.1
605,2024-02-26,4,Salary,6726.56
606,2024-02-26,4,Office,1496.17
607,2024-02-26,3,Office,1034.98
608,2024-02-26,1,Office,870.0
609,2024-02-26,3,Cloud Hosting,4301.4
610,2024-02-26,2,Office,1211.17
611,2024-02-26,2,Travel,661.18
612,2024-02-26,2,Marketing,2657.15
613,2024-02-26,1,Software,1146.6
614,2024-02-26,3,Travel,1976.14
615,2024-02-26,2,Travel,2525.4
616,2024-02-27,3,Salary,8981.6
617,2024-02-27,4,Office,835.97
618,2024-02-27,5,Software,313.88
619,2024-02-27,1,Cloud Hosting,2414.88
620,2024-02-27,5,Office,582.32
621,2024-02-27,5,Travel,891.46
622,2024-02-28,5,Software,2741.07
623,2024-02-28,1,Salary,10181.02
624,2024-02-28,2,Cloud Hosting,1061.24
625,2024-02-28,2,Office,584.43
626,2024-02-28,3,Travel,3414.55
627,2024-02-28,2,Cloud Hosting,3284.77
628,2024-02-28,3,Travel,675.65
629,2024-02-29,5,Travel,555.03
630,2024-02-29,2,Office,928.53
631,2024-02-29,2,Travel,850.56
632,2024-02-29,5,Travel,1482.95
633,2024-02-29,1,Travel,3335.9
634,2024-02-29,1,Salary,5454.62
635,2024-02-29,5,Office,470.52
636,2024-02-29,5,Marketing,3916.11
637,2024-02-29,1,Office,797.25
638,2024-03-01,3,Travel,2639.25
639,2024-03-01,4,Cloud Hosting,1450.93
640,2024-03-01,4,Office,516.41
641,2024-03-01,1,Salary,6580.8
642,2024-03-01,4,Software,1446.88
643,2024-03-01,5,Cloud Hosting,975.24
644,2024-03-01,3,Office,1127.88
645,2024-03-01,4,Cloud Hosting,914.6
646,2024-03-01,5,Cloud Hosting,2939.76
647,2024-03-01,2,Cloud Hosting,2492.42
648,2024-03-01,4,Cloud Hosting,1465.22
649,2024-03-01,1,Salary,7902.12
650,2024-03-01,5,Software,1312.59
651,2024-03-01,3,Marketing,7536.26
652,2024-03-01,3,Office,365.77
653,2024-03-02,5,Software,1453.76
654,2024-03-02,4,Cloud Hosting,408.93
655,2024-03-02,5,Software,1425.97
656,2024-03-02,2,Marketing,5083.41
657,2024-03-02,1,Salary,7813.56
658,2024-03-02,4,Travel,1285.84
659,2024-03-02,1,Salary,9309.28
660,2024-03-03,3,Office,1169.4
661,2024-03-03,1,Cloud Hosting,2182.73
662,2024-03-03,5,Travel,939.69
663,2024-03-03,3,Travel,479.42
664,2024-03-03,4,Travel,3104.74
665,2024-03-03,5,Cloud Hosting,3497.87
666,2024-03-03,2,Salary,14750.83
667,2024-03-03,3,Software,2405.2
668,2024-03-03,5,Cloud Hosting,4713.06
669,2024-03-04,5,Marketing,4563.86
670,2024-03-04,1,Travel,372.15
671,2024-03-04,3,Marketing,6627.76
672,2024-03-04,4,Travel,765.97
673,2024-03-04,2,Travel,1446.27
674,2024-03-04,3,Travel,817.51
675,2024-03-04,3,Travel,2456.15
676,2024-03-05,5,Travel,2061.42
677,2024-03-05,3,Travel,2004.59
678,2024-03-05,3,Salary,8312.4
679,2024-03-05,4,Salary,10837.02
680,2024-03-05,1,Office,935.67
681,2024-03-05,5,Cloud Hosting,3014.88
